country,activity,injury,fatal
australia,swimming underwater from crayfish cage to a fishing bait,right leg  severed fatal,y
australia,crayfishing,puncture wounds to right shoulder,n
australia,nan,survived,n
south africa,fishing,foot bitten by shark he was gaffing  provoked incident,n
australia,surfing,"fatal, body not recovered",y
bermuda,spearfishing,laceration to right ankle,n
reunion,nan,fatal,y
australia,fishing,no injury to occupant,n
australia,nan,survived,n
usa,standing,laceration to foot,n
usa,surfing,"thigh, lower back and surfboard bitten",n
usa,diving for abalone hookah,major injuries,n
israel,swimming,"bitten 12 times: multiple lacerations on hands, arms, shoulder breast thigh, both legs, left forearm surgically amputated",n
usa,scuba diving but on surface,minor injuries to hand,n
usa,scuba diving but on surface,minor bite on foot & swimfin,n
australia,33 m fishing boat sank treveluwe & peter hodgson wearing lifejackets were drifting in the current,"missing, believed taken by a shark",n
usa,surfing,no injury,n
hong kong,freedom swimming,survived,n
hong kong,freedom swimming,fatal,y
hong kong,freedom swimming,arm broken & severely lacerated,n
hong kong,freedom swimming,left foot bitten,n
croatia,nan,foot severed fatal,y
usa,surfing,minor injuries to hand,n
usa,free diving for abalone submerged,minor bite on heel & swim fin bitten,n
usa,swimming,fatal,y
usa,adrift after the sinking of the motor yacht princess dianne,arm bitten fatal,y
usa,swimming,lacerations to hip and leg,n
usa,free diving but on surface,leg bitten,n
brazil,fishing boat swamped in a storm,fatal,y
south africa,spearfishing,left knee lacerated,n
south africa,standing,lower right leg lacerated,n
usa,swimming,foot bitten,n
south africa,surfing,right foot lacerated,n
south africa,surfing,"no injury, surfboard bitten",n
south africa,fishing for kob,"no injury to occupant, shark holed boat",n
south africa,swimming,"right calf removed, leg surgically amputated below the knee",n
south africa,swimming,right shin lacerated,n
south africa,fishing for red fish,"no injury to occupant, but  a shark chasing a hooked fish holed his boat above the waterline",n
south africa,fishing for kob,"no injury,  shark leapt into boat & bit one of the boat's seats",n
south africa,sitting,2 minor lacerations in foot,n
australia,diving for abalone,"fatal, right leg severed",y
south africa,swimming,knee & calf lacerated,n
mozambique,swimming,fatal,y
mozambique,swimming,fatal,y
australia,spearfishing,8 to 10 puncture marks around knee,n
croatia,nan,fatal,y
mozambique,spearfishing,"right leg severed at knee, abrasion on left ankle",n
mozambique,swimming,fatal,y
philippines,swimming,fatal,y
usa,swimming,leg bitten,n
mexico,swimming alongside yacht mexico fiesta,fatal,y
australia,nan,survived,n
usa,surfing,foot bitten,n
australia,nan,knee lacerated,n
south africa,being pulled to shore from wreck of 25-ton fishing vessel alan s,"fatal, thigh bitten",y
bahamas,"free diving, spearfishing",left hand & forearm lacerated,n
hong kong,freedom swimming,fatal,y
mexico,"free diving, spearfishing","fatal, leg bitten",y
egypt,nan,massive wound on right thigh with femur exposed,n
australia,nan,nan,unknown
australia,surfing,right foot severed,n
usa,crabbing spearing crabs,elbow bitten,n
hong kong,freedom swimming,"one man was killed by a shark, the other was injured",n
mexico,wading,"fatal, multiple bites",y
australia,nan,survived,n
mozambique,spearfishing,fatal,y
south africa,spearfishing,hip bruised,n
mexico,swimming,"fatal, multiple bites",y
south africa,fishing from paddleski,hooked & gaffed shark bit his right elbow provoked incident,n
usa,surfing,leg bitten,n
palau,scuba diving submerged,"no injury, shark grabbed scuba tank and descended to 110' before releasing him",n
palau,scuba diving & uw photography,hand & right shoulder lacerated,n
south africa,surfing,"no injury, surboard flung into air & dented",n
south africa,treading water,lower left leg & foot bitten,n
mozambique,swimming,"hip, leg, arm, hand & shoulder bitten",n
mexico,body surfing,"fatal, hand severed, right leg and torso bitten",y
south africa,swimming,"no injury, swim fin bitten",n
australia,nan,hand bitten,n
australia,nan,provoked incident,n
reunion,spearfishing,fatal,y
australia,spearfishing,right arm bitten,n
australia,surfing,lacerations to thigh & buttocks,n
usa,scuba diving,"fatal, body not recovered",y
usa,surfing,survived,n
new zealand,swimming,"no injury, leg of jeans torn off",n
usa,surfing,legs & board bitten,n
mozambique,swimming,feet injured,nan
usa,surfing,left calf bitten,n
usa,spearfishing,forearm bitten,n
australia,diving for abalone,left foot bitten,n
usa,diving,sharks reportedly bit legs & fins,nan
australia,nan,fatal,y
australia,nan,fatal,y
usa,surfing,buttocks bitten,n
usa,free diving for abalone,bitten on legs & buttock,n
french polynesia,spearfishing,thigh bitten,n
western samoa,swimming,fatal,y
australia,nan,left leg bitten,n
mozambique,swimming,fatal,y
pacific ocean,fishing,arm bitten by hooked shark provoked incident,n
usa,spearfishing,leg bitten,n
australia,surfing,laceration above knee,n
australia,nan,survived,n
south africa,swimming,"fatal, coroner's verdict: ""death presumably through shark attack & drowning""",y
south africa,sitting in shallows,foot bitten,n
mozambique,standing,"leg severed at knee,  hand severed, arms, torso & buttock severely lacerated",n
mozambique,spearfishing,puncture wounds to arm,n
france,swimming,shoulder injured,n
marshall islands,"free diving, collecting shells",right hand & torso lacerated,n
australia,nan,survived,n
south africa,swimming,right forearm bitten,n
australia,nan,fatal,y
hong kong,freedom swimming,"left leg severely bitten, surgically amputated",n
australia,nan,provoked incident,n
usa,surfing,"right shoulder, arm & hand bitten",n
south africa,swimming,wrist & hand lacerated,n
usa,scuba diving,bitten on legs,n
usa,surfing,left foot injured,n
croatia,swimming,fatal,y
australia,fishing,"fatal shark bite was minor injury, but he suffered a heart attack afterwards and died 6 hours later",y
australia,scuba diving & feeding fish,eight puncture wounds to right leg by captive shark provoked incident,n
usa,wading,laceration to left ankle,n
usa,hookah diving submerged,"major injuries to head, buttocks & back",n
south africa,surfing,leg & surfboard bitten,n
british isles,scuba diving,"no injury, said to have been attacked by shark but drove it away with a lobster hook",n
kenya,swimming,right foot bitten,n
south africa,swimming,"fatal, multiple bites",y
mexico,surfing,"fatal, left thigh bitten",y
venezuela,nan,"fatal, body not recovered",y
venezuela,nan,"fatal, body not recovered",y
mozambique,wreck of the 1689-ton portuguese  coaster angoche,"fatal, it was  thought  the surviving crew  were taken by sharks",y
new zealand,surfing,lacerations to left leg,n
australia,swimming,torso lacerated,n
usa,free diving,"minor injury, arc of tooth impressions in wetsuit",n
australia,surfing,severe lacerations to thigh,n
croatia,swimming,fatal,nan
iran,nan,survived,n
iran,nan,survived,n
mozambique,fishing for prawns,"fatal, arm severed",y
mozambique,fishing for prawns,"fatal, decapitated and arm severed",y
micronesia,fishing,laceration to thigh,n
usa,shipwreck,right thigh lacerated,n
nan,nan,extensive injuries,n
usa,body surfing,shoulder & arm bitten,n
usa,surfing,bitten on right leg above the ankle,n
micronesia,diving,lacerations & punctures to right arm & shoulder,n
palau,spearfishing,"another diver shot shark, shark bit his left foream  provoked incident",n
usa,floating on a raft,laceration to left foot,n
australia,nan,provoked incident,n
usa,swimming,foot lacerated,n
usa,scuba diving,calf  knee injured,n
nan,sea disaster sinking of ferryboat christina,"sharks scavenged on bodies, but no record of them injuring survivors",nan
nan,nan,finger or toe severed,n
usa,fishing,bitten on calf by hooked shark provoked incident,n
south africa,scuba diving,2 cm laceration on knee provoked incident,n
grenada,wading,"fatal, multiple injuries to both legs",y
grenada,wading,"fatal, body not recovered",y
philippines,motor launch baby princesa capsized with 22 people on board,"2 people survived, 6 drowned & the others were killed by sharks",y
grenada,swimming,"fatal, body not recovered",y
nan,freediving,arm abraded & lacerated recorded as provoked incident,n
solomon islands,swimming,no details,unknown
usa,body surfing,"swept out to sea,  55 m [18'] shark seen in the vicinity, body not recovered",nan
usa,wading,foot & calf lacerated,n
nan,wading,lacerations to lower leg,n
mozambique,swimming,"hands severed, forearm severely lacerated",n
mozambique,swimming,leg severed at knee,n
mozambique,swimming,"arm severed, thigh bitten",n
mozambique,swimming,leg severed at knee,n
egypt,air disaster,fatal,y
mexico,swimming,leg bitten,n
england,attempted to return injured shark to the sea,leg bitten,n
papua new guinea,freediving,lacerations to back,n
sri lanka,spearfishing  freediving,swim fins badly torn by the shark's teeth,n
spain,spearfishing,minor injury,n
italy,fishing on a boat,no injury,n
croatia,spearfishing,no details,unknown
iraq,washing cooking pans,left hand severed,n
iraq,washing clothes on stairs,left foot severed,n
iraq,swimming,"fatal, left leg severed",y
iraq,"fishing, trying to catch the end of his fishing line",left hand bitten,n
australia,swimming,left thigh lacerated,n
usa,scuba diving for lobsters,"abrasions to upper leg, laceration to ankle, scuba tank bitten",n
australia,nan,provoked incident,n
usa,diving,no injury,n
usa,free diving for abalone,leg & ankle severely bitten,n
usa,floating on his back,laceration to right leg,n
usa,fishing,leg bitten by netted shark provoked incident,n
usa,surfing,lacerations to lower leg,n
usa,body surfing,lacerations to right lower leg & left arm and hand,n
nan,nan,am lacerated,n
england,nan,arm lacerated recorded as provoked incident,n
usa,nan,scrape on head recorded as provoked incident,n
usa,free diving for abalone but at surface,"foot bitten, minor injury",n
usa,wading,no details,unknown
jamaica,diving,multiple lacerations,n
usa,wading,no injury,n
usa,surf-fishing,foot lacerated when he stepped on the shark  provoked incident,n
usa,diving,laceration to buttocks recorded as provoked incident,n
dominican republic,surfing,nan,unknown
australia,nan,survived,n
australia,netting pilchards,no injury,nan
usa,fishing,laceration to foot from dead shark provoked incident,n
australia,nan,foot lacerated recorded as provoked incident,n
usa,surfing,leg & surfboard bitten,n
australia,fishing,lacerations to hand from hooked shark provoked incident,n
australia,hard hat diving,no details,nan
australia,freediving,abrasions and lacerations to lower right leg,n
australia,nan,minor injury,n
bahamas,sight-seeing,"no injury to occupants, shark grabbed prop, leodorn hit shark with oar, shark bit oar in half provoked incident",n
south africa,freediving,no injury,nan
australia,feeding mullet to sharks,laceration to finger by a captive shark provoked incident,n
new zealand,surfing,"hit in face by shark, arm abraded, surfboard bitten",n
australia,nan,survived,n
south africa,spearfishing,"no injury, left elbow & torso bumped by sharks",n
south africa,nan,no injury,nan
south africa,fishing,"shark leapt into boat, landed on hlope's back, then bit his left forearm",n
papua new guinea,wreck of the storm king,remains recovered days later from shark,nan
australia,nan,abrasion on shoulder recorded as provoked incident,n
bahamas,nan,calf injured recorded as provoked incident,n
usa,spearfishing using scuba,swim fin bitten,n
philippines,sinking of the ferryboat dumaguete,survived,n
usa,surfing,nan,nan
new zealand,spearfishing,"fatal, left leg bitten, femoral artery severed",y
usa,playing with a frisbee in the shallows,"shark bumped colleen, the nudged scott, then bit frisbee & swam away with it",n
usa,standing,leg & arm bitten,n
french polynesia,swimming,finger severed,n
malaysia,leaving the water,hand lacerated,n
columbia,dynamite fishing,lacerations to head,n
usa,free diving,major injury to torso,n
usa,wading,abrasions on lower leg,n
usa,spearfishing using scuba,swimfin & knee bitten,n
bahamas,small boat with 2 men onboard hit a submerged coral formation men began swimming to shore,"fatal, taken by shark",y
